
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-06-02 15:54:47 /api/auth/google/status ............................................................ ~ 507.35ms
  2026-06-02 15:54:47 /api/tenant-config ................................................................. ~ 508.11ms
  2026-06-02 15:54:48 /api/auth/meta/status .............................................................. ~ 511.03ms
  2026-06-02 15:54:48 /api/auth/google/status .................................................................. ~ 1s
  2026-06-02 15:54:48 /api/tenant-config ................................................................. ~ 506.93ms
  2026-06-02 15:54:49 /api/auth/meta/status .............................................................. ~ 507.79ms
  2026-06-02 15:54:49 /api/auth/google/status .................................................................. ~ 1s
  2026-06-02 15:54:49 /api/tenant-config ....................................................................... ~ 1s
  2026-06-02 15:54:50 /api/auth/meta/app-settings ........................................................ ~ 508.63ms
  2026-06-02 15:54:50 /api/auth/meta/app-settings ........................................................ ~ 505.86ms
  2026-06-02 15:54:50 /api/auth/meta/status .................................................................... ~ 1s
  2026-06-02 15:54:51 /api/auth/google/status ............................................................ ~ 508.11ms
  2026-06-02 15:54:51 /api/tenant-config ................................................................. ~ 506.95ms
  2026-06-02 15:54:51 /api/auth/meta/app-settings .............................................................. ~ 1s
  2026-06-02 15:54:52 /api/auth/meta/status .................................................................... ~ 1s
  2026-06-02 15:54:52 /api/auth/meta/app-settings ........................................................ ~ 516.11ms
  2026-06-02 15:54:53 /api/auth/meta/status .............................................................. ~ 506.13ms
  2026-06-02 15:55:56 /api/notifications ................................................................. ~ 501.68ms
  2026-06-02 15:58:40 /api/notifications ................................................................. ~ 502.78ms
  2026-06-02 16:00:28 /api/notifications ................................................................. ~ 502.68ms
  2026-06-02 16:00:43 /api/auth/meta/redirect ............................................................ ~ 502.03ms
  2026-06-02 16:00:43 /api/auth/meta/redirect ............................................................ ~ 501.17ms
  2026-06-02 16:00:48 /api/auth/meta/redirect ............................................................ ~ 501.10ms
  2026-06-02 16:01:57 /api/notifications ................................................................... ~ 1.27ms
  2026-06-02 16:03:56 /api/notifications ................................................................. ~ 501.24ms
  2026-06-02 16:05:06 /api/company-info .................................................................. ~ 501.36ms
  2026-06-02 16:05:06 /api/company-info .................................................................. ~ 501.29ms
  2026-06-02 16:05:07 /api/crm-settings .................................................................... ~ 0.49ms
  2026-06-02 16:05:07 /api/inventory/new-counts .......................................................... ~ 506.51ms
  2026-06-02 16:05:07 /api/crm-settings ........................................................................ ~ 1s
  2026-06-02 16:05:07 /api/rotation-settings ............................................................. ~ 507.72ms
  2026-06-02 16:05:08 /api/inventory/new-counts .......................................................... ~ 514.23ms
  2026-06-02 16:05:08 /api/rotation-settings ................................................................... ~ 1s
